purchase_id,user_id,amount,purchase_date,discount_applied,discount_value
77,15,32.03,2026-04-18,1,32.02
78,15,28.41,2026-04-28,1,12.18
79,16,64.56,2026-04-21,0,0.0
80,16,22.1,2026-05-13,0,0.0
81,16,67.75,2026-05-14,0,0.0
82,16,50.82,2026-03-25,0,0.0
83,16,82.33,2026-04-25,0,0.0
84,16,92.42,2026-04-14,0,0.0
85,17,43.66,2026-04-07,1,10.91
86,17,55.3,2026-04-02,1,13.83
87,17,47.17,2026-04-21,1,20.21
88,17,61.1,2026-05-19,1,15.28
89,17,64.15,2026-05-02,1,16.04
90,17,14.07,2026-04-13,1,14.07
91,17,39.41,2026-05-08,1,9.85
92,17,14.56,2026-04-20,1,14.56
93,18,50.2,2026-03-30,1,12.55
94,18,60.19,2026-04-22,1,25.8
95,18,32.08,2026-05-02,1,13.75
96,19,56.27,2026-05-12,0,0.0
97,19,24.4,2026-04-11,0,0.0
98,19,79.34,2026-04-07,0,0.0
99,19,34.05,2026-04-02,0,0.0
100,19,76.63,2026-05-19,0,0.0
101,19,20.91,2026-04-05,0,0.0
102,20,96.17,2026-05-18,0,0.0
103,20,56.18,2026-03-26,0,0.0
104,20,64.01,2026-04-02,0,0.0
105,20,56.96,2026-05-13,0,0.0
106,21,95.9,2026-04-05,0,0.0
107,21,88.06,2026-04-24,0,0.0
108,21,97.21,2026-03-31,0,0.0
109,22,88.53,2026-04-29,0,0.0
110,22,56.65,2026-04-16,0,0.0
111,22,20.99,2026-03-25,0,0.0
112,22,69.84,2026-04-05,0,0.0
113,22,82.53,2026-04-16,0,0.0
114,22,53.16,2026-05-12,0,0.0
115,22,65.33,2026-05-10,0,0.0
116,23,76.65,2026-04-12,0,0.0
117,23,85.28,2026-04-13,0,0.0
118,23,78.12,2026-04-28,0,0.0
119,24,61.85,2026-03-27,0,0.0
120,24,48.63,2026-05-07,0,0.0
121,24,43.63,2026-04-23,0,0.0
122,24,63.85,2026-05-17,0,0.0
123,24,36.62,2026-03-22,0,0.0
124,25,77.72,2026-04-02,0,0.0
125,25,40.34,2026-05-13,0,0.0
126,25,35.0,2026-05-07,0,0.0
127,25,88.18,2026-03-21,0,0.0
128,25,56.56,2026-05-06,0,0.0
129,25,35.25,2026-03-30,0,0.0
130,25,28.62,2026-04-28,0,0.0
131,25,23.72,2026-04-23,0,0.0
132,26,37.07,2026-03-24,0,0.0
133,26,46.49,2026-04-28,0,0.0
134,26,37.48,2026-05-01,0,0.0
135,26,69.46,2026-04-01,0,0.0
136,27,45.06,2026-05-19,0,0.0
137,27,37.72,2026-03-30,0,0.0
138,27,71.27,2026-04-02,0,0.0
139,27,87.21,2026-05-02,0,0.0
140,28,67.25,2026-04-11,0,0.0
141,28,27.52,2026-04-25,1,3.06
142,28,88.77,2026-04-16,0,0.0
143,28,86.12,2026-04-23,0,0.0
144,28,58.07,2026-05-08,0,0.0
145,28,90.22,2026-05-17,0,0.0
146,29,58.43,2026-03-28,1,25.04
147,29,38.79,2026-04-05,1,16.63
148,29,46.95,2026-04-13,1,11.74
149,29,33.02,2026-04-01,1,14.15
150,29,28.43,2026-04-06,1,28.43
151,29,17.75,2026-03-25,1,4.44
152,29,12.7,2026-05-03,1,12.7
153,30,96.53,2026-04-09,0,0.0
154,30,84.62,2026-04-09,0,0.0
155,30,68.98,2026-04-09,0,0.0
156,30,25.71,2026-03-22,0,0.0
157,30,45.08,2026-05-05,0,0.0
158,30,41.4,2026-04-04,0,0.0
159,31,98.0,2026-03-31,0,0.0
160,31,35.93,2026-05-17,0,0.0
161,31,61.69,2026-05-13,0,0.0
162,31,51.13,2026-04-19,0,0.0
163,31,45.85,2026-03-21,0,0.0
164,31,79.58,2026-05-17,0,0.0
165,32,52.12,2026-04-14,0,0.0
166,32,72.6,2026-04-28,0,0.0
167,32,99.87,2026-04-15,0,0.0
168,32,94.68,2026-04-21,0,0.0
169,33,18.36,2026-04-28,1,18.36
170,33,18.15,2026-05-06,1,18.15
171,33,28.48,2026-04-01,1,12.21
172,34,89.34,2026-04-29,0,0.0
173,34,39.74,2026-03-24,0,0.0
174,34,82.1,2026-04-24,0,0.0
175,34,78.83,2026-04-11,0,0.0
176,34,77.62,2026-04-25,0,0.0
177,34,68.92,2026-04-24,0,0.0
178,34,65.75,2026-04-02,0,0.0
179,34,62.02,2026-04-15,0,0.0
180,35,37.91,2026-05-01,1,16.25
181,35,31.01,2026-05-03,1,31.02
182,35,47.08,2026-04-27,1,47.09
183,35,29.85,2026-04-13,1,29.86
184,35,47.86,2026-04-09,1,11.96
185,35,34.37,2026-03-24,1,34.38
186,35,78.67,2026-05-01,1,19.67
187,35,10.96,2026-05-12,1,10.96
188,36,51.35,2026-04-22,0,0.0
189,36,67.69,2026-04-04,0,0.0
190,36,70.36,2026-04-12,0,0.0
191,37,58.94,2026-03-24,0,0.0
192,37,98.0,2026-04-22,0,0.0
193,37,26.77,2026-05-11,0,0.0
194,37,84.48,2026-04-08,0,0.0
195,37,56.48,2026-03-25,0,0.0
196,37,75.63,2026-03-30,0,0.0
197,37,54.06,2026-03-21,0,0.0
198,37,56.35,2026-05-08,0,0.0
199,38,45.06,2026-05-08,0,0.0
200,38,73.82,2026-05-19,0,0.0
201,38,25.44,2026-03-27,0,0.0
202,38,27.82,2026-04-23,0,0.0
203,38,74.84,2026-05-13,0,0.0
204,38,37.55,2026-04-27,0,0.0
205,38,40.15,2026-05-01,0,0.0
206,38,21.9,2026-05-17,0,0.0
207,39,58.45,2026-03-28,1,25.05
208,39,16.83,2026-04-10,1,16.83
209,39,68.34,2026-05-15,1,17.08
210,39,29.88,2026-05-12,1,29.89
211,39,20.04,2026-05-05,1,5.01
212,40,91.35,2026-05-05,0,0.0
213,40,95.7,2026-04-12,0,0.0
214,40,65.9,2026-03-22,0,0.0
215,40,53.42,2026-05-19,0,0.0
216,40,23.2,2026-05-17,0,0.0
217,40,78.68,2026-04-19,0,0.0
218,40,22.69,2026-04-17,0,0.0
219,41,92.38,2026-04-05,0,0.0
220,41,32.28,2026-03-30,0,0.0
221,41,29.35,2026-05-04,0,0.0
222,41,65.96,2026-04-29,0,0.0
223,41,40.83,2026-04-21,0,0.0
224,41,36.41,2026-05-08,0,0.0
225,41,22.78,2026-04-04,0,0.0
226,41,98.24,2026-04-29,0,0.0
227,42,53.56,2026-04-26,0,0.0
228,42,96.41,2026-03-22,0,0.0
229,42,43.19,2026-05-16,0,0.0
230,42,71.12,2026-04-16,0,0.0
231,42,61.11,2026-05-15,0,0.0
232,43,21.02,2026-05-08,0,0.0
233,43,59.33,2026-04-06,0,0.0
234,43,51.71,2026-05-13,0,0.0
235,43,72.68,2026-04-16,0,0.0
236,43,29.54,2026-05-14,0,0.0
237,44,28.85,2026-05-01,1,12.36
238,44,41.73,2026-04-13,1,10.43
239,44,63.54,2026-04-10,1,15.89
240,44,70.02,2026-04-04,1,17.51
241,45,14.44,2026-04-25,1,6.19
242,45,68.77,2026-03-21,1,29.47
243,45,21.78,2026-04-30,1,5.44
244,45,29.46,2026-04-30,1,7.37
245,45,38.58,2026-03-22,1,16.53
246,45,42.49,2026-03-24,1,42.49
247,46,31.34,2026-04-22,0,0.0
248,46,45.06,2026-05-12,0,0.0
249,46,59.94,2026-05-11,0,0.0
250,46,42.48,2026-03-27,0,0.0
251,46,94.1,2026-04-26,0,0.0
252,46,92.22,2026-05-01,0,0.0
253,46,69.03,2026-05-03,0,0.0
254,47,34.36,2026-04-20,0,0.0
255,47,87.43,2026-05-08,0,0.0
256,47,26.66,2026-05-17,0,0.0
257,47,76.35,2026-03-24,0,0.0
258,47,66.98,2026-04-29,0,0.0
259,47,80.59,2026-04-20,0,0.0
260,47,69.9,2026-04-21,0,0.0
261,47,47.31,2026-05-03,0,0.0
262,48,94.13,2026-05-16,0,0.0
263,48,97.01,2026-04-20,0,0.0
264,48,82.53,2026-05-13,0,0.0
265,48,95.79,2026-03-26,0,0.0
266,48,60.58,2026-05-17,0,0.0
267,48,89.67,2026-05-12,0,0.0
268,48,78.27,2026-05-09,0,0.0
269,48,60.47,2026-04-01,0,0.0
270,49,41.1,2026-03-25,0,0.0
271,49,70.92,2026-04-18,0,0.0
272,49,75.12,2026-04-21,0,0.0
273,49,78.54,2026-04-18,0,0.0
274,49,85.9,2026-04-23,0,0.0
275,49,60.46,2026-05-10,0,0.0
276,50,64.38,2026-04-01,0,0.0
277,50,65.46,2026-04-30,0,0.0
278,50,70.86,2026-03-26,0,0.0
279,50,49.86,2026-05-10,0,0.0
280,51,31.71,2026-04-21,1,13.59
281,51,23.39,2026-05-07,1,23.39
282,51,11.01,2026-03-29,1,11.02
283,51,68.78,2026-05-05,1,29.47
284,51,74.69,2026-05-15,1,18.67
285,51,37.07,2026-05-09,1,9.27
286,51,56.02,2026-04-09,1,14.0
287,52,35.68,2026-05-08,0,0.0
288,52,87.43,2026-05-08,0,0.0
289,52,28.1,2026-03-22,0,0.0
290,52,74.2,2026-03-27,0,0.0
291,53,55.09,2026-05-06,0,0.0
292,53,64.68,2026-03-26,0,0.0
293,53,31.12,2026-04-26,0,0.0
294,53,30.27,2026-03-25,0,0.0
295,53,20.77,2026-04-02,0,0.0
296,53,72.71,2026-03-29,0,0.0
297,54,68.5,2026-04-19,1,17.13
298,54,43.54,2026-05-09,1,43.54
299,54,27.34,2026-05-13,1,6.84
300,54,63.46,2026-04-15,1,15.86
301,55,27.34,2026-05-11,0,0.0
302,55,63.91,2026-04-12,0,0.0
303,55,94.55,2026-03-30,0,0.0
304,55,60.59,2026-05-04,0,0.0
305,56,74.43,2026-04-09,1,18.61
306,56,56.73,2026-03-25,1,14.18
307,56,21.49,2026-05-01,1,5.37
308,56,20.11,2026-05-02,1,5.03
309,56,27.15,2026-04-12,1,11.63
310,56,64.67,2026-04-06,1,16.17
311,57,37.51,2026-03-27,0,0.0
312,57,56.46,2026-04-06,0,0.0
313,57,42.67,2026-04-11,0,0.0
314,57,73.23,2026-04-02,0,0.0
315,57,86.22,2026-03-29,0,0.0
316,58,98.39,2026-05-14,0,0.0
317,58,43.89,2026-04-17,0,0.0
318,58,33.73,2026-04-15,0,0.0
319,59,35.21,2026-04-10,0,0.0
320,59,79.67,2026-03-27,0,0.0
321,59,54.0,2026-04-04,0,0.0
322,60,94.33,2026-05-07,0,0.0
323,60,35.97,2026-04-10,0,0.0
324,60,52.58,2026-04-25,0,0.0
325,60,98.41,2026-04-09,0,0.0
326,60,58.34,2026-04-22,0,0.0
327,61,79.66,2026-04-03,0,0.0
328,61,40.59,2026-04-08,0,0.0
329,61,64.07,2026-04-11,0,0.0
330,62,62.7,2026-04-15,0,0.0
331,62,34.57,2026-03-28,1,3.84
332,62,53.75,2026-04-04,0,0.0
333,62,84.9,2026-04-05,0,0.0
334,62,34.94,2026-05-14,1,3.88
335,62,21.37,2026-03-26,0,0.0
336,63,99.38,2026-04-16,0,0.0
337,63,94.42,2026-04-16,0,0.0
338,63,30.5,2026-03-30,0,0.0
339,63,88.48,2026-04-10,0,0.0
340,63,77.02,2026-03-23,0,0.0
341,63,36.71,2026-05-04,0,0.0
342,63,96.64,2026-05-15,0,0.0
343,64,97.6,2026-03-30,0,0.0
344,64,41.02,2026-04-23,0,0.0
345,64,20.29,2026-04-03,0,0.0
346,65,59.2,2026-03-31,1,25.37
347,65,32.67,2026-03-31,1,8.17
348,65,21.31,2026-05-02,1,5.33
349,65,10.92,2026-04-09,1,10.93
350,65,19.79,2026-03-25,1,8.48
351,65,54.14,2026-03-21,1,13.53
352,65,34.08,2026-05-10,1,8.52
353,65,18.33,2026-05-14,1,7.86
354,66,57.26,2026-04-28,1,14.32
355,66,19.33,2026-04-19,1,8.28
356,66,30.86,2026-04-03,1,13.22
357,67,69.62,2026-03-24,0,0.0
358,67,51.43,2026-04-24,0,0.0
359,67,90.36,2026-03-28,0,0.0
360,67,33.68,2026-05-06,0,0.0
361,68,53.81,2026-04-25,0,0.0
362,68,27.85,2026-03-23,0,0.0
363,68,93.62,2026-05-03,0,0.0
364,68,44.86,2026-04-11,0,0.0
365,68,54.87,2026-04-13,0,0.0
366,68,45.8,2026-03-24,0,0.0
367,68,31.13,2026-04-12,0,0.0
368,68,35.96,2026-03-31,0,0.0
369,69,81.01,2026-03-30,0,0.0
370,69,25.46,2026-04-24,0,0.0
371,69,50.12,2026-04-19,0,0.0
372,69,34.43,2026-04-07,0,0.0
373,69,82.03,2026-04-17,0,0.0
374,70,44.27,2026-04-19,0,0.0
375,70,90.12,2026-03-26,0,0.0
376,70,21.72,2026-05-05,0,0.0
377,70,22.11,2026-05-16,0,0.0
378,70,84.91,2026-03-30,0,0.0
379,70,68.65,2026-04-15,0,0.0
380,71,72.24,2026-03-30,0,0.0
381,71,68.64,2026-03-31,0,0.0
382,71,44.55,2026-05-12,0,0.0
383,71,45.68,2026-04-07,0,0.0
384,71,87.81,2026-05-03,0,0.0
385,72,30.59,2026-05-15,0,0.0
386,72,62.34,2026-03-25,0,0.0
387,72,92.34,2026-04-25,0,0.0
388,72,30.2,2026-04-27,0,0.0
389,73,44.01,2026-03-24,0,0.0
390,73,90.0,2026-05-05,0,0.0
391,73,58.8,2026-04-07,0,0.0
392,73,70.4,2026-03-30,0,0.0
393,74,95.37,2026-03-25,0,0.0
394,74,31.31,2026-05-14,0,0.0
395,74,61.87,2026-04-19,0,0.0
396,74,38.59,2026-04-01,0,0.0
397,75,13.13,2026-04-16,1,13.13
398,75,29.69,2026-03-27,1,7.42
399,75,43.35,2026-04-09,1,43.34
400,75,43.6,2026-05-10,1,43.59
401,75,41.45,2026-04-21,1,17.76
402,76,99.5,2026-05-06,0,0.0
403,76,84.87,2026-04-08,0,0.0
404,76,47.37,2026-05-06,0,0.0
405,76,86.39,2026-04-14,0,0.0
406,76,61.06,2026-05-14,0,0.0
407,76,51.68,2026-05-06,1,5.74
408,76,61.36,2026-05-12,0,0.0
409,77,10.47,2026-04-20,1,10.46
410,77,41.71,2026-04-07,1,10.43
411,77,27.0,2026-04-30,1,27.0
412,77,20.5,2026-04-09,1,8.78
413,77,34.88,2026-04-17,1,14.95
414,77,23.4,2026-04-04,1,23.41
415,77,23.14,2026-04-26,1,5.79
416,77,43.78,2026-04-22,1,18.76
417,78,97.87,2026-04-01,0,0.0
418,78,79.52,2026-04-14,0,0.0
419,78,50.02,2026-05-04,0,0.0
420,79,40.63,2026-04-05,0,0.0
421,79,67.55,2026-05-02,0,0.0
422,79,31.2,2026-04-01,0,0.0
423,79,43.07,2026-04-16,0,0.0
424,79,90.41,2026-05-05,0,0.0
425,79,49.02,2026-04-13,0,0.0
426,80,44.58,2026-05-06,0,0.0
427,80,45.6,2026-04-30,0,0.0
428,80,57.75,2026-04-16,0,0.0
429,80,44.0,2026-04-06,0,0.0
430,81,47.18,2026-04-13,0,0.0
431,81,82.49,2026-04-16,0,0.0
432,81,85.62,2026-04-02,0,0.0
433,81,91.15,2026-04-22,0,0.0
434,81,65.98,2026-04-24,0,0.0
435,81,69.9,2026-05-19,0,0.0
436,81,21.51,2026-04-25,0,0.0
437,81,45.79,2026-05-05,0,0.0
438,82,70.95,2026-03-29,0,0.0
439,82,58.1,2026-04-30,0,0.0
440,82,92.23,2026-03-23,0,0.0
441,82,45.83,2026-05-11,0,0.0
442,82,49.25,2026-04-15,0,0.0
443,82,73.47,2026-04-10,0,0.0
444,82,58.22,2026-05-13,0,0.0
445,83,51.28,2026-04-23,0,0.0
446,83,48.03,2026-03-27,0,0.0
447,83,31.24,2026-05-02,0,0.0
448,83,79.17,2026-04-03,0,0.0
449,83,32.82,2026-05-10,1,3.65
450,83,72.77,2026-05-02,1,8.08
451,83,61.65,2026-05-12,0,0.0
452,83,70.28,2026-03-31,0,0.0
453,84,51.83,2026-04-01,1,12.96
454,84,55.58,2026-04-24,1,13.9
455,84,13.74,2026-05-07,1,13.73
456,84,46.59,2026-04-11,1,46.59
457,84,70.54,2026-04-24,1,17.64
458,85,53.61,2026-05-08,1,22.97
459,85,19.08,2026-04-18,1,8.18
460,85,25.24,2026-04-24,1,10.81
461,85,49.45,2026-04-08,1,21.19
462,85,40.07,2026-04-21,1,40.08
463,86,93.41,2026-04-26,0,0.0
464,86,31.33,2026-05-10,0,0.0
465,86,40.65,2026-04-07,0,0.0
466,86,65.64,2026-04-06,0,0.0
467,87,72.3,2026-04-04,1,18.08
468,87,15.0,2026-04-24,1,15.0
469,87,25.66,2026-04-27,1,10.99
470,87,63.48,2026-04-23,1,27.21
471,87,39.33,2026-04-03,1,16.85
472,87,34.36,2026-04-20,1,14.72
473,88,53.23,2026-05-04,1,22.81
474,88,69.78,2026-04-21,1,29.91
475,88,20.92,2026-05-17,1,20.91
476,88,50.93,2026-04-20,1,21.82
477,88,11.25,2026-04-14,1,11.26
478,88,63.02,2026-05-19,1,15.75
479,88,35.32,2026-04-30,1,15.13
480,88,25.53,2026-04-25,1,25.54
481,89,50.85,2026-04-01,0,0.0
482,89,31.15,2026-03-25,0,0.0
483,89,70.58,2026-03-25,0,0.0
484,89,54.75,2026-05-19,0,0.0
485,89,33.82,2026-03-23,0,0.0
486,89,33.62,2026-05-08,1,3.74
487,89,31.99,2026-04-19,0,0.0
488,89,59.79,2026-05-18,0,0.0
489,90,42.63,2026-04-08,0,0.0
490,90,80.52,2026-04-13,0,0.0
491,90,90.66,2026-05-17,0,0.0
492,91,42.72,2026-05-02,1,10.68
493,91,65.31,2026-04-30,1,16.33
494,91,21.95,2026-04-30,1,9.4
495,92,14.91,2026-05-18,1,6.39
496,92,18.28,2026-05-12,1,18.29
497,92,17.75,2026-05-15,1,7.61
498,92,37.63,2026-05-12,1,16.12
499,93,73.27,2026-04-16,0,0.0
500,93,62.44,2026-04-12,0,0.0
501,93,90.43,2026-04-30,0,0.0
502,94,29.8,2026-03-21,1,29.8
503,94,42.85,2026-04-12,1,42.84
504,94,37.55,2026-04-13,1,16.09
505,94,49.26,2026-05-16,1,49.27
506,94,47.33,2026-04-18,1,20.29
507,95,91.59,2026-04-22,0,0.0
508,95,21.37,2026-05-04,0,0.0
509,95,68.21,2026-05-07,0,0.0
510,95,25.39,2026-05-15,0,0.0
511,95,41.52,2026-05-13,0,0.0
512,95,34.3,2026-03-30,0,0.0
513,96,30.1,2026-04-24,1,7.52
514,96,16.78,2026-04-30,1,4.19
515,96,42.78,2026-05-07,1,10.69
516,96,67.17,2026-04-23,1,16.79
517,96,44.63,2026-04-22,1,19.13
518,97,37.67,2026-03-26,1,9.42
519,97,40.47,2026-04-05,1,17.34
520,97,67.3,2026-04-27,1,28.84
521,97,50.6,2026-05-01,1,21.68
522,97,67.65,2026-04-23,1,16.91
523,97,69.14,2026-03-30,1,29.63
524,98,29.27,2026-03-31,0,0.0
525,98,64.86,2026-04-25,0,0.0
526,98,65.24,2026-04-15,1,7.25
527,98,26.37,2026-04-22,0,0.0
528,98,19.49,2026-04-19,1,2.17
529,99,44.37,2026-03-22,1,44.37
530,99,47.41,2026-04-14,1,47.41
531,99,21.89,2026-04-15,1,21.89
532,99,30.66,2026-04-07,1,13.14
533,99,66.12,2026-04-01,1,28.34
534,99,72.19,2026-03-22,1,18.05
535,99,23.33,2026-04-07,1,23.33
536,100,52.63,2026-05-03,1,22.56
537,100,50.86,2026-03-25,1,21.8
538,100,41.84,2026-04-02,1,10.46
539,100,77.26,2026-04-13,1,19.31
540,100,64.33,2026-05-04,1,27.57
541,100,19.77,2026-03-29,1,19.77
542,100,32.24,2026-03-21,1,32.24
543,101,56.24,2026-03-24,0,0.0
544,101,99.78,2026-03-27,0,0.0
545,101,72.84,2026-04-15,0,0.0
546,101,96.29,2026-05-06,0,0.0
547,101,33.77,2026-04-22,0,0.0
548,102,84.16,2026-05-02,0,0.0
549,102,29.79,2026-03-21,0,0.0
550,102,40.23,2026-04-24,0,0.0
551,103,78.34,2026-05-03,0,0.0
552,103,98.32,2026-03-28,0,0.0
553,103,96.83,2026-05-12,0,0.0
554,103,53.24,2026-03-22,0,0.0
555,103,90.58,2026-05-19,0,0.0
556,103,37.1,2026-04-06,0,0.0
557,104,35.47,2026-04-25,1,35.47
558,104,15.87,2026-05-04,1,15.88
559,104,21.78,2026-05-13,1,21.77
560,104,22.38,2026-03-24,1,22.39
561,104,78.39,2026-03-30,1,19.6
562,104,72.99,2026-05-08,1,18.25
563,104,69.7,2026-05-08,1,17.43
564,105,59.37,2026-03-25,0,0.0
565,105,93.83,2026-04-19,0,0.0
566,105,65.23,2026-05-09,0,0.0
567,105,81.53,2026-05-15,0,0.0
568,105,94.93,2026-04-24,0,0.0
569,105,25.37,2026-05-03,0,0.0
570,105,50.68,2026-05-07,1,5.63
571,105,96.34,2026-05-11,0,0.0
572,106,50.99,2026-03-30,1,12.75
573,106,24.12,2026-05-09,1,6.03
574,106,37.18,2026-03-26,1,9.29
575,106,60.27,2026-04-11,1,15.07
576,106,61.14,2026-04-07,1,26.2
577,107,44.53,2026-05-07,0,0.0
578,107,74.03,2026-03-24,0,0.0
579,107,25.96,2026-04-13,0,0.0
580,108,15.19,2026-05-19,1,15.19
581,108,53.4,2026-04-02,1,22.89
582,108,29.38,2026-05-01,1,7.35
583,108,29.98,2026-04-16,1,7.5
584,108,50.78,2026-04-04,1,12.69
585,108,24.56,2026-04-02,1,6.14
586,108,28.81,2026-05-11,1,7.2
587,108,69.83,2026-03-24,1,17.46
588,109,51.55,2026-04-15,0,0.0
589,109,83.9,2026-05-16,0,0.0
590,109,80.05,2026-03-21,0,0.0
591,109,81.49,2026-03-28,0,0.0
592,109,21.39,2026-05-07,0,0.0
593,109,38.9,2026-04-30,0,0.0
594,109,71.63,2026-04-25,0,0.0
595,109,65.81,2026-03-28,0,0.0
596,110,32.69,2026-03-25,0,0.0
597,110,74.76,2026-03-24,0,0.0
598,110,20.61,2026-04-08,0,0.0
599,110,76.83,2026-04-05,0,0.0
600,110,22.59,2026-05-01,0,0.0
601,111,93.01,2026-03-21,0,0.0
602,111,99.18,2026-04-16,0,0.0
603,111,25.21,2026-04-08,0,0.0
604,111,74.81,2026-04-21,0,0.0
605,111,68.24,2026-04-25,0,0.0
606,111,52.87,2026-05-13,0,0.0
607,112,71.29,2026-04-07,0,0.0
608,112,43.43,2026-05-08,0,0.0
609,112,90.78,2026-05-17,0,0.0
610,112,53.73,2026-03-21,0,0.0
611,112,42.64,2026-04-09,0,0.0
612,112,50.11,2026-04-10,0,0.0
613,112,39.89,2026-04-15,0,0.0
614,112,94.84,2026-05-03,0,0.0
615,113,74.62,2026-04-22,0,0.0
616,113,38.17,2026-05-16,0,0.0
617,113,63.03,2026-04-11,0,0.0
618,114,63.2,2026-04-29,1,27.09
619,114,56.13,2026-03-29,1,24.06
620,114,15.76,2026-05-16,1,6.75
621,114,31.11,2026-05-03,1,13.33
622,114,50.53,2026-05-01,1,21.65
623,114,25.32,2026-04-02,1,6.33
624,114,72.32,2026-03-26,1,18.08
625,115,98.67,2026-05-06,0,0.0
626,115,89.35,2026-04-16,0,0.0
627,115,23.95,2026-03-21,0,0.0
628,115,64.56,2026-04-13,0,0.0
629,115,33.42,2026-05-06,0,0.0
630,115,23.58,2026-05-12,0,0.0
631,115,21.19,2026-05-12,0,0.0
632,116,94.76,2026-04-26,0,0.0
633,116,82.72,2026-05-15,0,0.0
634,116,46.85,2026-04-26,0,0.0
635,116,97.72,2026-04-29,0,0.0
636,116,56.85,2026-05-12,0,0.0
637,116,43.26,2026-04-20,0,0.0
638,116,73.68,2026-05-14,0,0.0
639,117,36.17,2026-04-19,0,0.0
640,117,84.87,2026-04-30,0,0.0
641,117,37.06,2026-05-14,0,0.0
642,117,78.03,2026-03-31,0,0.0
643,118,36.26,2026-05-19,0,0.0
644,118,66.32,2026-03-23,0,0.0
645,118,42.19,2026-05-19,0,0.0
646,118,95.02,2026-05-11,0,0.0
647,118,37.16,2026-03-24,0,0.0
648,118,60.52,2026-05-17,0,0.0
649,118,97.78,2026-04-05,0,0.0
650,118,25.15,2026-05-01,0,0.0
651,119,33.67,2026-04-07,0,0.0
652,119,55.75,2026-03-22,1,6.2
653,119,92.79,2026-04-13,0,0.0
654,119,44.35,2026-04-06,1,4.93
655,119,81.82,2026-05-13,0,0.0
656,119,62.84,2026-05-06,0,0.0
657,119,26.52,2026-04-14,0,0.0
658,119,65.52,2026-04-29,0,0.0
659,120,45.94,2026-05-14,1,19.69
660,120,34.25,2026-04-26,1,14.68
661,120,30.07,2026-04-12,1,12.89
662,120,50.74,2026-04-30,1,21.74
663,121,72.05,2026-05-03,0,0.0
